noticia_id,tema_id,score,fecha_asignacion
3286,2,1,2026-03-06 20:41:45
3290,1,1,2026-03-06 20:41:46
3291,11,1,2026-03-06 20:41:46
3298,12,1,2026-03-06 20:41:46
3318,1,1,2026-03-06 20:41:46
3319,4,1,2026-03-06 20:41:46
3319,10,1,2026-03-06 20:41:46
3320,11,1,2026-03-06 20:41:46
3327,4,1,2026-03-06 20:41:46
3327,10,1,2026-03-06 20:41:46
3336,4,1,2026-03-06 20:41:46
3336,10,1,2026-03-06 20:41:46
3337,1,1,2026-03-06 20:41:46
3337,11,1,2026-03-06 20:41:46
3341,2,1,2026-03-06 20:41:46
3345,1,1,2026-03-06 20:41:46
3347,12,1,2026-03-06 20:41:46
3348,2,1,2026-03-06 20:41:46
3350,3,1,2026-03-06 20:41:46
3350,4,1,2026-03-06 20:41:46
3351,12,1,2026-03-06 20:41:46
3352,2,1,2026-03-06 20:41:46
3352,3,1,2026-03-06 20:41:46
3430,11,1,2026-03-06 20:41:46
3432,1,1,2026-03-06 20:41:46
3444,4,1,2026-03-06 20:41:46
3445,1,1,2026-03-06 20:41:46
3446,11,1,2026-03-06 20:41:47
3447,3,1,2026-03-06 20:41:47
3554,11,1,2026-03-06 20:41:47
3564,2,1,2026-03-06 20:41:47
3594,11,1,2026-03-06 20:41:47
3825,12,1,2026-03-06 20:41:47
3831,2,1,2026-03-06 20:41:47
3833,4,1,2026-03-06 20:41:47
3833,10,1,2026-03-06 20:41:47
3834,1,1,2026-03-06 20:41:47
3837,2,1,2026-03-06 20:41:47
3837,3,1,2026-03-06 20:41:47
3842,1,1,2026-03-06 20:41:47
3842,2,1,2026-03-06 20:41:47
3842,12,1,2026-03-06 20:41:47
3845,12,1,2026-03-06 20:41:47
3846,12,1,2026-03-06 20:41:47
3848,12,1,2026-03-06 20:41:47
3857,4,1,2026-03-06 20:41:47
3857,11,1,2026-03-06 20:41:47
3905,1,1,2026-03-06 20:41:48
3905,12,1,2026-03-06 20:41:48
3906,2,1,2026-03-06 20:41:48
3909,11,1,2026-03-06 20:41:48
